Date,Open,High,Low,Close
20131227,236.86,237.83,236.07,237.19
20131228,237.24,237.29,236.43,236.87
20131230,236.96,237.33,234.09,235.13
20131231,235.13,236.35,230.20,235.21
20140101,235.12,235.54,235.03,235.29
20140102,234.21,238.99,234.21,238.06
20140103,238.03,241.03,237.74,240.50
20140104,240.47,241.30,240.26,240.75
20140106,240.83,242.93,236.46,241.64
20140107,241.65,242.30,238.36,238.65
20140108,238.57,239.90,237.22,238.07
20140109,238.07,239.72,237.12,238.81
20140110,238.84,242.79,238.25,242.29
20140111,242.31,243.01,241.92,242.14
20140113,243.00,244.04,241.66,242.64
20140114,242.69,243.86,242.26,243.40
20140115,243.37,243.49,239.96,241.23
20140116,241.30,242.44,240.54,241.92
20140117,241.90,243.27,240.78,243.04
20140118,243.10,244.08,242.90,243.72
20140120,243.77,245.27,243.64,244.53
20140121,244.57,244.64,240.46,241.40
20140122,241.42,242.05,240.90,241.41
20140123,241.37,246.16,239.66,245.00
20140124,245.01,247.49,244.46,246.31
20140125,246.30,246.55,245.22,246.21
20140127,246.96,248.73,244.50,245.37
20140128,245.34,246.13,243.06,243.60
20140129,243.61,247.09,242.96,246.03
20140130,246.01,247.28,241.34,242.32
20140131,242.29,244.56,241.29,242.51
20140201,242.47,242.48,241.57,242.00
20140203,242.09,246.40,241.83,246.08
20140204,246.19,246.77,243.13,243.98
20140205,243.98,248.34,243.69,245.54
20140206,245.58,246.84,244.21,244.63
20140207,244.60,247.95,244.39,246.40
20140208,246.36,247.16,245.95,247.04
20140210,246.76,248.97,246.66,248.39
20140211,248.35,251.57,248.02,251.31
20140212,251.33,252.47,250.29,252.13
20140213,252.16,253.05,250.79,252.82
20140214,252.81,257.70,252.74,256.69
20140215,256.69,257.52,256.59,257.51
20140217,257.22,259.41,257.22,258.93
20140218,258.91,259.73,256.10,257.87
20140219,257.89,258.49,256.72,258.06
20140220,258.04,258.14,255.74,257.35
20140221,257.37,259.58,256.93,259.05
20140224,259.54,262.38,258.35,262.09
20140225,262.13,264.05,261.72,263.77
20140226,263.85,265.08,260.48,260.82
20140227,260.87,263.29,260.53,262.73
20140228,262.67,264.59,261.40,262.01
20140301,262.05,262.06,260.80,261.87
20140303,262.14,267.57,262.13,267.32
20140304,267.32,267.72,262.99,264.13
20140305,264.12,264.83,262.62,263.73
20140306,263.75,264.99,261.87,264.60
20140307,264.65,266.49,262.02,262.93
20140308,262.90,264.04,262.88,263.76
20140310,263.77,265.44,261.85,264.82
20140311,264.81,266.93,264.03,264.48
20140312,264.46,270.43,264.37,269.85
20140313,269.83,271.38,269.23,270.33
20140314,270.34,274.38,270.21,271.86
20140315,271.85,273.50,271.58,273.03
20140317,274.65,275.28,273.08,273.37
20140318,273.39,273.58,268.90,270.17
20140319,270.17,271.14,266.38,267.16
20140320,267.14,267.55,264.05,266.57
20140321,266.60,268.68,265.57,267.38
20140322,267.39,267.69,266.76,267.03
20140324,266.42,267.02,260.36,260.84
20140325,260.83,262.68,260.30,261.63
20140326,261.64,262.84,259.64,260.30
20140327,260.19,260.91,258.01,258.86
20140328,258.91,259.27,256.83,257.80
20140329,257.84,258.63,257.59,258.14
20140331,258.93,259.93,257.27,257.56
20140401,257.52,257.74,255.15,255.56
20140402,255.54,258.28,254.97,257.74
20140403,257.74,258.27,255.99,257.05
20140404,257.07,260.91,256.43,260.67
20140405,260.68,260.98,259.84,260.34
20140407,259.95,260.50,258.79,259.10
20140408,259.12,261.87,258.82,260.51
20140409,260.51,261.73,259.34,260.16
20140410,260.16,264.56,259.76,263.64
20140411,263.64,264.34,262.40,263.23
20140412,263.24,263.50,263.00,263.26
20140414,264.96,266.12,263.72,265.26
20140415,265.26,265.61,257.63,260.71
20140416,260.70,261.46,258.77,260.09
20140417,260.09,260.89,259.30,259.95
20140418,259.95,260.04,259.79,260.02
20140421,258.94,260.43,256.57,257.50
20140422,257.50,259.21,256.24,256.84
20140423,256.78,258.50,256.76,257.67
20140424,257.73,260.85,254.91,259.16
20140425,259.17,262.38,258.78,261.64
20140426,261.55,261.87,261.11,261.83
20140428,262.06,262.68,259.74,260.29
20140429,260.32,261.85,258.86,261.09
20140430,261.09,261.21,258.70,260.19
20140501,260.19,261.14,257.05,258.25
20140502,258.31,262.50,256.47,261.78
20140503,261.80,262.29,261.00,261.30
20140505,261.80,264.12,261.64,262.80
20140506,262.80,263.49,261.16,261.75
20140507,261.72,263.55,259.04,259.25
20140508,259.29,259.45,257.48,258.08
20140509,258.05,259.16,257.64,257.87
20140510,257.78,258.19,257.43,258.07
20140512,256.58,261.42,256.58,260.45
20140513,260.44,260.71,258.20,259.55
20140514,259.54,262.15,258.67,261.29
20140515,261.27,261.80,258.62,259.53
20140516,259.50,260.10,258.14,259.19
20140519,258.80,261.74,258.71,259.91
20140520,259.90,260.08,257.95,259.74
20140521,259.81,260.06,257.87,258.38
20140522,258.42,261.26,257.30,259.64
20140523,259.60,259.82,258.07,259.13
20140524,259.10,259.30,258.59,259.24
20140526,258.96,259.53,258.89,259.32
20140527,259.28,259.53,254.36,254.79
20140528,254.74,254.86,252.62,253.07
20140529,253.05,253.43,251.21,252.05
20140530,252.02,252.85,249.57,249.77
20140531,249.75,251.35,249.67,251.25
20140602,250.72,251.22,249.32,250.07
20140603,250.00,250.88,249.49,250.16
20140604,250.20,251.04,249.89,250.11
20140605,250.08,252.85,249.58,252.27
20140606,252.34,252.71,250.42,251.81
20140607,251.72,251.90,251.35,251.78
20140609,251.84,252.20,251.17,251.33
20140610,251.32,252.92,250.68,252.37
20140611,252.37,253.33,251.82,252.65
20140612,252.65,254.78,252.00,254.25
20140613,254.24,255.03,253.48,254.24
20140614,254.27,255.15,254.25,254.94
20140616,255.09,256.85,254.69,255.12
20140617,255.07,255.35,252.13,254.39
20140618,254.36,255.26,253.77,254.72
20140619,254.72,260.31,254.28,260.26
20140620,260.26,264.72,260.07,263.29
20140621,263.29,263.49,262.77,263.03
20140623,262.98,263.85,262.27,263.48
20140624,263.49,265.61,263.09,263.91
20140625,264.07,265.53,262.72,265.37
20140626,265.31,265.39,261.45,263.14
20140627,263.14,264.34,262.51,263.70
20140628,263.72,263.83,263.12,263.12
20140630,263.04,263.26,261.42,263.04
20140701,263.08,265.74,262.86,264.46
20140702,264.50,265.92,263.87,265.30
20140703,265.32,265.65,261.67,263.49
20140704,263.50,263.93,263.22,263.55
20140705,263.55,263.55,263.33,263.44
20140707,262.92,263.11,261.68,262.39
20140708,262.43,264.16,261.91,262.18
20140709,262.10,264.58,261.94,263.61
20140710,263.58,268.25,263.40,266.87
20140711,266.87,267.22,266.05,266.52
20140712,266.47,266.96,266.22,266.82
20140714,267.06,267.09,260.06,260.67
20140715,260.69,262.23,257.95,258.57
20140716,258.57,260.08,258.01,259.61
20140717,259.52,264.06,258.71,263.67
20140718,263.59,264.22,260.40,260.80
