* Salesforce Object
|-------------------------+------------+--------------|
| Function                | Key prefix | Chinese Name |
|-------------------------+------------+--------------|
| Account                 | 001        | 客户         |
| Note                    | 002        | 备注         |
| Contact                 | 003        | 联系人       |
| ReceiptAddress__c       | a0Q        | 收货地址     |
| AccountInfo__c          | a00        | 客户账户     |
| Opportunity             | 006        | 商机         |
|-------------------------+------------+--------------|
| Contract                | 800        | 合同         |
| Order                   | 801        | 订单         |
| PriceList__c            | a0D        | 价格列表     |
| Project__c              | a0N        | 项目         |
| Projectstep__c          | a0O        | 项目阶段     |
| Charge__c               | a01        | 费用         |
| Invoice__c              | a08        | 发票         |
|-------------------------+------------+--------------|
| ProductCustomization__c | a0F        | 产品定制报备 |
| ProductLine__c          | a0H        | 产品线       |
| ProductName__c          | a0J        | 产品名       |
| ProductGroup__c         | a0G        | 产品系列     |
| ProductModel__c         | a0I        | 产品型号     |
| Product2                | 01t        | 物料         |
|-------------------------+------------+--------------|
| Staff__c                | a0U        | 员工         |
|-------------------------+------------+--------------|

* Salesforce Fields
|-------------------------+-----------------------------+--------------+-----------------+--------+------------|
| Function                | Field Name                  | Label        | PRP             | Type   | Max Length |
|-------------------------+-----------------------------+--------------+-----------------+--------+------------|
| Account                 | Name                        | 客户名       | acc2            |        |            |
|                         | Phone                       | 客户电话     | acc10           |        |            |
|                         | Website                     | 网址         | acc12           |        |            |
|                         | LegalPerson__c              | 法定代表人   | 00N2800000BzpGw |        |            |
|                         | TaxpayerIdentification__c   | 纳税人识别号 | 00N2800000BzpH0 |        |            |
|                         | Address__c                  | 注册地址     | 00N2800000BzpGp |        |            |
|                         | BankForTicket__c            | 开户行       | 00N2800000BzpGq |        |            |
|                         | TelephoneTicket__c          | 电话         | 00N2800000BzpH1 |        |            |
|                         |                             | 账号         | 00N2800000BzpGr |        |            |
|                         |                             | 描述         | acc20           |        |            |
| Contact                 | LastName                    | 姓           | name_lastcon2   |        |            |
|                         | FirstName                   | 名           | name_firstcon2  |        |            |
|                         | Title                       | 职务         | con6            |        |            |
|                         | Department                  | 部门         | con6            |        |            |
|                         |                             | 电话         | con10           |        |            |
|                         |                             | 客户传真     | con11           |        |            |
|                         | MobilePhone                 | 手机         | con12           |        |            |
|                         | Email                       | 电子邮件     | con15           |        |            |
|                         | WeChat__c                   | 微信         | 00N28000008oBru |        |            |
|                         | QQ__c                       | QQ           | 00N28000008oBrt |        |            |
| Note                    | Title                       | 标题         | Title           |        |            |
|                         | Body                        | 正文         | Body            |        |            |
